Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
Killing Eve,"After a series of events, the lives of a security operative and an assassin become inextricably linked.",42,"Action, Adventure, Drama","Jodie Comer, Sandra Oh, Fiona Shaw, Kim Bodnia",8.2,91713,2018–2022
Mr. Robot,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,"Crime, Drama, Thriller","Rami Malek, Christian Slater, Carly Chaikin, Martin Wallström",8.5,342252,2015–2019
In Treatment,"A psychotherapist questions his abilities and gets help by reuniting with his old therapist, whom he has not seen for ten years.",25,Drama,"Gabriel Byrne, Dianne Wiest, Uzo Aduba, Michelle Forbes",8.2,15975,2008–2021
Narcos,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,"Biography, Crime, Drama","Pedro Pascal, Wagner Moura, Boyd Holbrook, Alberto Ammann",8.8,370793,2015–2017
Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,88,"Crime, Drama, Mystery","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",9.1,830345,2010–2017
Virgin River,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds.",44,"Drama, Romance","Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Lauren Hammersley",7.5,22957,2019– 
The Mentalist,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.",43,"Crime, Drama, Mystery","Simon Baker, Robin Tunney, Tim Kang, Owain Yeoman",8.1,168774,2008–2015
Élite,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder.",60,"Crime, Drama, Thriller","Itzan Escamilla, Omar Ayuso, Miguel Bernardeau, Arón Piper",7.5,53781,2018– 
Arrested Development,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,Comedy,"Jason Bateman, Michael Cera, Portia de Rossi, Will Arnett",8.7,281873,2003–2019
24,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,44,"Action, Crime, Drama","Kiefer Sutherland, Mary Lynn Rajskub, Carlos Bernard, Dennis Haysbert",8.3,174994,2001–2010
Supergirl,The adventures of Superman's cousin in her own superhero career.,43,"Action, Adventure, Drama","Melissa Benoist, Chyler Leigh, David Harewood, Mehcad Brooks",6.2,114304,2015–2021
High School Musical: The Musical - The Series,The students from the school where the High School Musical films were shot stage a musical production based on the franchise.,31,"Comedy, Drama, Musical","Olivia Rodrigo, Joshua Bassett, Matt Cornett, Larry Saperstein",7.3,4349,2019– 
Death in Paradise,"A UK police DI is transferred to St-Marie to investigate murders on the island, but he hates the sun, sea, and sand. Later series see other English and Irish detectives take over the role.",60,"Comedy, Crime, Drama","Elizabeth Bourgine, Danny John-Jules, Don Warrington, Tobi Bakare",7.8,15714,2011– 
Animal Kingdom,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.",60,"Crime, Drama","Shawn Hatosy, Ben Robson, Jake Weary, Finn Cole",8.2,25295,2016– 
Mindhunter,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",60,"Crime, Drama, Thriller","Jonathan Groff, Holt McCallany, Anna Torv, Hannah Gross",8.6,230420,2017–2019
The Sinner,Anthology series that examines how and why ordinary people commit brutal crimes.,45,"Crime, Drama, Mystery","Bill Pullman, Dohn Norwood, Adam LeFevre, Jessica Biel",7.9,95316,2017– 
True Blood,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.",55,"Drama, Fantasy, Mystery","Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten",7.8,231653,2008–2014
Psych,"A novice sleuth is hired by the Police after he cons them into thinking he has psychic powers which help solve crimes. With the assistance of his reluctant best friend, the duo take on a series of complicated cases.",44,"Comedy, Crime, Mystery","James Roday Rodriguez, Dulé Hill, Timothy Omundson, Corbin Bernsen",8.3,87200,2006–2014
Jack Ryan,"An up-and-coming CIA analyst, Jack Ryan, is thrust into a dangerous field assignment as he uncovers a pattern in terrorist communication that launches him into the center of a dangerous gambit.",60,"Action, Drama, Thriller","John Krasinski, Wendell Pierce, John Hoogenakker, Abbie Cornish",8.1,95243,2018– 
Demon Slayer: Kimetsu No Yaiba,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",25,"Animation, Action, Fantasy","Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",8.7,41388,2019– 
Prodigal Son,"Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.",44,"Crime, Drama, Mystery","Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau",7.7,16048,2019–2021
You,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",45,"Crime, Drama, Romance","Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail",7.7,153731,2018– 
Blue Bloods,Revolves around a family of New York cops.,43,"Crime, Drama, Mystery","Donnie Wahlberg, Bridget Moynahan, Will Estes, Len Cariou",7.6,33544,2010– 
Castle,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",43,"Comedy, Crime, Drama","Nathan Fillion, Stana Katic, Susan Sullivan, Jon Huertas",8.1,142862,2009–2016
Inside No. 9,"Anthology series which mixes dark humor with genres like crime, horror or drama. The show invites viewers into some very different No.9s, where the ordinary and mundane rub shoulders with the extraordinary and macabre.",30,"Comedy, Drama, Horror","Reece Shearsmith, Steve Pemberton, Derek Jacobi, Rosie Cavaliero",8.5,13578,2014– 
Spartacus: Blood and Sand,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action, Adventure, Biography","Andy Whitfield, Lucy Lawless, Manu Bennett, Daniel Feuerriegel",8.5,227020,2010–2013
Young Sheldon,Meet a child genius named Sheldon Cooper; (already seen as an adult in ,30,Comedy,"Iain Armitage, Zoe Perry, Lance Barber, Montana Jordan",7.5,38209,2017– 
The Good Place,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,22,"Comedy, Drama, Fantasy","Kristen Bell, William Jackson Harper, Jameela Jamil, ""DArcy Carden""",8.2,123902,2016–2020
A Discovery of Witches,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",60,"Drama, Fantasy, Romance","Matthew Goode, Teresa Palmer, Valarie Pettiford, Alex Kingston",8.0,35721,2018– 
NCIS: Los Angeles,"The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks.",43,"Action, Crime, Drama","""Chris ODonnell"", Daniela Ruah, Barrett Foa, LL Cool J",6.7,49501,2009– 
Motherland,"This is a programme about navigating the trials and traumas of middle-class motherhood, looking at the competitive side and unromantic take on parenting - not the cute and acceptable public face of motherhood.",30,Comedy,"Anna Maxwell Martin, Lucy Punch, Diane Morgan, Paul Ready",7.8,3060,2016– 
Bob's Burgers,Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,22,"Animation, Comedy","H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts",8.1,68033,2011– 
Desperate Housewives,"Secrets and truths unfold through the lives of female friends in one suburban neighborhood, after the mysterious suicide of a neighbor.",45,"Comedy, Drama, Mystery","Teri Hatcher, Felicity Huffman, Marcia Cross, Eva Longoria",7.5,118588,2004–2012
The Girlfriend Experience,"Anthology television series based on Steven Soderbergh's ""The Girlfriend Experience.""",27,Drama,"Riley Keough, Paul Sparks, Julia Goldani Telles, Mary Lynn Rajskub",7.1,9443,2016– 
Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,"Animation, Action, Adventure","Dee Bradley Baker, Zach Tyler, Mae Whitman, Jack De Sena",9.3,260893,2005–2008
Star Trek: Discovery,"Ten years before Kirk, Spock, and the Enterprise, the USS Discovery discovers new worlds and lifeforms as one Starfleet officer learns to understand all things alien.",60,"Action, Adventure, Drama","Sonequa Martin-Green, Doug Jones, Anthony Rapp, Mary Wiseman",7.2,99850,2017– 
iCarly,"Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.",30,"Comedy, Family, Romance","Miranda Cosgrove, Jerry Trainor, Jennette McCurdy, Nathan Kress",6.7,34665,2007–2012
NCIS: New Orleans,"Follows an NCIS team that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment, and decadence.",42,"Crime, Drama, Mystery","Scott Bakula, Rob Kerkovich, CCH Pounder, Daryl Mitchell",6.8,15839,2014–2021
Justified,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,"Action, Crime, Drama","Timothy Olyphant, Nick Searcy, Joelle Carter, Jacob Pitts",8.6,88999,2010–2015
The Marvelous Mrs. Maisel,A housewife in 1958 decides to become a stand-up comic.,57,"Comedy, Drama","Rachel Brosnahan, Alex Borstein, Michael Zegen, Marin Hinkle",8.7,85702,2017– 
City on a Hill,"In early 1990s Boston, ADA Decourcy Ward forms an unlikely alliance with a corrupt venerated FBI veteran, Jackie Rohr. Together, they take on a case that changes the city's entire criminal justice system.",60,"Crime, Drama, Thriller","Kevin Bacon, Aldis Hodge, Lauren E. Banks, Amanda Clayton",7.6,9041,2019– 
Dynasty,Follows two of America's wealthiest families as they feud for control over their fortune and their children.,42,Drama,"Elizabeth Gillies, Grant Show, Rafael de la Fuente, Robert Christopher Riley",7.3,16123,2017– 
Flack,"Robyn, an American publicist working for a cutthroat London PR company that represents troubled celebrities, is adept at keeping her clients' lives appearing in perfect order, while her own falls to pieces.",60,"Comedy, Drama","Anna Paquin, Lydia Wilson, Rebecca Benson, Sophie Okonedo",7.1,3724,2019– 
The O.C.,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.",44,"Comedy, Drama, Romance","Mischa Barton, Adam Brody, Peter Gallagher, Kelly Rowan",7.5,82800,2003–2007
Big Little Lies,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",60,"Crime, Drama, Mystery","Reese Witherspoon, Nicole Kidman, Shailene Woodley, Zoë Kravitz",8.5,164819,2017–2019
Chicago Med,"The city's most highly skilled medical team saves lives, while navigating their unique interpersonal relationships.",43,Drama,"Nick Gehlfuss, Brian Tee, Marlyne Barrett, S. Epatha Merkerson",7.6,16783,2015– 
Glee,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,44,"Comedy, Drama, Music","Lea Michele, Jane Lynch, Matthew Morrison, Cory Monteith",6.7,138844,2009–2015
The Originals,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,45,"Drama, Fantasy, Horror","Joseph Morgan, Daniel Gillies, Claire Holt, Phoebe Tonkin",8.2,121133,2013–2018
Godfather of Harlem,"A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas.",55,"Crime, Drama","Forest Whitaker, Nigel Thatch, Ilfenesh Hadera, Lucy Fry",8.0,8161,2019– 
